opponent_team,was_home,round,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,saves,yellow_cards,red_cards,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution,total_points,player_id,avg_points_last3,avg_minutes_last3,xG_last5,xA_last5,xGI_last5,minutes_ratio,opp_avg_goals_conceded,opp_goals_allowed_last5
15,False,6,90,1,0,0,0,1,2,0,0,15.8,0.0,0.0,1.6,0.0,0.01,0.01,0.61,0,2,10,0,2,1,3.333333333333333,90.0,0.0,0.006,0.0,1.0,0.0407040704070407,
19,True,7,90,1,0,0,1,0,0,0,0,3.2,0.0,0.0,0.3,0.0,0.0,0.0,0.49,0,0,8,0,6,1,3.333333333333333,90.0,0.0,0.008,0.0,1.0,0.04285714285714286,
10,False,8,90,1,0,0,1,0,0,0,0,4.6,0.0,0.0,0.5,0.0,0.0,0.0,0.44,0,2,7,0,6,1,3.333333333333333,90.0,0.0,0.008,0.0,1.0,0.03808487486398259,
8,True,9,90,1,0,0,1,0,1,0,0,15.0,0.1,0.0,1.5,0.0,0.0,0.0,0.47,0,2,10,0,6,1,4.666666666666667,90.0,0.0,0.004,0.0,1.0,0.03380588876772083,
3,False,10,90,1,0,0,1,0,0,0,0,2.8,0.1,0.0,0.3,0.0,0.0,0.0,0.42,0,1,7,0,6,1,6.0,90.0,0.0,0.004,0.0,1.0,0.05145413870246085,
17,False,11,90,1,0,0,0,2,0,0,0,1.6,0.0,0.0,0.2,0.0,0.0,0.0,0.44,0,0,2,0,1,1,6.0,90.0,0.0,0.002,0.002,1.0,0.033105022831050226,
18,True,12,90,1,0,0,0,1,1,0,0,6.6,0.0,0.0,0.7,0.0,0.0,0.0,0.07,0,0,5,0,2,1,4.333333333333333,90.0,0.0,0.0,0.0,1.0,0.0446927374301676,
7,False,13,90,1,0,0,0,1,3,0,0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.79,0,0,7,0,3,1,3.0,90.0,0.0,0.0,0.0,1.0,0.03056768558951965,
5,True,14,90,1,0,0,1,0,1,0,0,15.0,0.0,0.0,1.5,0.0,0.0,0.0,0.35,0,2,12,0,6,1,2.0,90.0,0.0,0.0,0.0,1.0,0.030204962243797196,
2,False,15,90,1,0,0,0,2,4,0,0,35.2,0.0,0.0,3.5,0.0,0.0,0.0,2.16,0,0,7,0,2,1,3.6666666666666665,90.0,0.0,0.0,0.0,1.0,0.025727069351230425,
